ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
42570,"Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html,2515,2515,Royal Canin
112526,"Сухой корм для домашних кошек, четыре вида мяса, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html,2569,2569,Grandorf
140799,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html,1599,1279,Grandin
82035,"Urinary корм для кошек для профилактики мочекаменной болезни, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-urinary-korm-dlya-koshek-profilaktika-mkb-1-5-kg.html,1699,1699,Monge
41879,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html,1755,1492,Pro Plan ®
138252,"Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-daily-care-s-kuricey.html,825,825,Ownat
41942,"Maine Coon Adult корм для кошек породы мейн-кун старше 15 месяцев, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_31_Adult_suhoy_korm_dlya_koshek_porody_Meyn_Kun.html,2899,2899,Royal Canin
148698,"Корм сухой для котят, с курицей и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-s-kuricey-i-indeykoy.html,1499,1274,Mealfeel
112514,"Сухой корм для котят, ягненок с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html,2365,2365,Grandorf
48181,"Gastro Intestinal GI32 корм для кошек при лечении ЖКТ, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Gastro_Intestinal_GI_32_dieticheskiy_suhoy_korm_dlya_koshek_pri_narusheniyah_pishchevareniya.html,3629,3629,Royal Canin
41900,"Sterilised сухой корм для пожилых кошек для стерилизованных с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Sterilised_suhoy_korm_dlya_koshek_starshe_7et_indeyka.html,1755,1492,Pro Plan ®
148706,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html,1499,1499,Mealfeel
137187,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html,2915,2915,Farmina
112520,"Сухой корм для стерилизованных кошек, кролик с индейкой, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-krolik-s-risom-400g.html,2365,2365,Grandorf
111434,"Superpremium Cat Sterilized корм для стерилизованных кошек с курицей, 10кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-kuricey.html,8635,8635,Monge
46720,"Science Plan Sterilised Cat сухой корм для кошек и котят, с курицей, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotov_6_mes_6et.html,1699,1699,Hill's
112523,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html,2365,2365,Grandorf
41926,"Kitten 36 корм для котят в возрасте от 4 до 12 мес, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Kitten_36_suhoy_korm_dlya_kotyat_vozrast_do_12_mes_i_beremennyh_koshek.html,2119,2119,Royal Canin
138258,"Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-s-ryboy.html,925,925,Ownat
81100,"Adult корм для кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-korm-dlya-vzroslyh-koshek-1-5-kg.html,1629,1629,Monge
42922,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_indeykakuritsa.html,1755,1492,Pro Plan ®
113391,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-koshek-s-kuricey-i-risom.html,1645,1645,Ownat
42552,"Veterinary Diets EN ST/OX Gastrointestinal сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_koshek_pri_patologiyah_GKT.html,2827,2827,Purina
45725,"Exigent 35/30 Savour Sensation корм для кошек, привередливых к вкусу продукта, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Exigent_3530_Savour_Sensation_suhoy_korm_suhoy_dlya_priveredlivyh_koshek.html,2555,2555,Royal Canin
42589,"Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html,4079,4079,Royal Canin
42544,"Veterinary Diets HA ST/OX Hypoallergenic сухой корм для котят и взрослых кошек для всех пород для снижения пищевой непереносимости ингредиентов и питательных веществ, 1,3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html,2895,2895,Purina
155686,"Sterilized Grain free Корм сухой для стерилизованных кошек, с курицей, 10 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html,8999,8999,Grandin
120007,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-struvite-400-gr.html,3045,3045,Farmina
148702,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html,1499,1499,Mealfeel
42548,"Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html,2569,2569,Purina
146992,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom.html,1069,1069,UNICA
104587,"Сухой корм Hills Science Plan для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_kuritsa.html,1945,1362,Hill's
81097,"Kitten корм для здорового роста котят в возрасте от 1 до 12 месяцев, беременных и кормящих кошек, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-korm-dlya-kotyat-1-5-kg.html,1775,1775,Monge
